Item#	Noun	KnownProportion	Auditory_mean	Gustatory_mean	Haptic_mean	Olfactory_mean	Visual_mean	Auditory_sd	Gustatory_sd	Haptic_sd	Olfactory_sd	Visual_sd	DominantModality	Exclusivity	
253	device	1	3	0	3	0	4	2	0	1	1	1	Visual	0	
254	die	1	2	0	1	1	3	2	1	2	2	2	Visual	0	
255	disease	1	2	1	2	2	3	2	2	2	2	2	Visual	0	
256	distance	1	2	0	2	0	5	2	0	2	1	0	Visual	1	
257	down	1	1	0	2	0	3	2	0	2	0	2	Visual	1	
258	dust	1	0	1	3	1	4	0	1	1	1	1	Visual	0	
259	ease	1	2	0	2	0	3	2	0	2	0	2	Visual	0	
260	east	1	1	0	0	0	3	2	1	1	1	2	Visual	1	
261	effect	1	3	1	2	1	3	2	2	2	2	2	Visual	0	
262	effort	1	2	0	1	1	3	2	1	2	1	2	Visual	0	
263	emergency	1	4	0	2	1	4	1	0	2	1	1	Visual	0	
264	engagement	1	3	0	2	0	3	2	0	2	0	2	Visual	0	
265	estate	1	2	0	1	1	4	2	0	1	1	1	Visual	1	
266	factor	1	1	0	0	0	2	2	1	1	0	2	Visual	0	
267	fair	1	2	0	1	0	3	2	0	1	1	2	Visual	0	
268	farm	1	3	1	3	4	4	1	1	2	1	1	Visual	0	
269	feet	1	2	0	4	3	5	2	1	2	2	1	Visual	0	
270	fell	1	3	0	3	0	4	2	0	2	1	1	Visual	0	
271	felt	1	1	0	4	0	3	1	1	2	1	2	Haptic	0	
272	fence	1	0	0	4	0	5	1	0	1	1	1	Visual	1	
273	fine	1	2	1	2	0	4	2	1	2	1	1	Visual	0	
274	firm	1	1	1	4	0	3	1	1	2	0	2	Haptic	0	
275	fog	1	0	0	1	1	5	1	0	1	1	1	Visual	1	
276	foot	1	1	0	4	3	4	1	0	1	2	1	Visual	0	
277	fortune	1	2	0	1	0	3	2	0	2	0	2	Visual	0	
278	giant	1	2	0	2	1	4	2	0	2	1	2	Visual	0	
279	god	1	2	0	0	0	1	2	1	1	1	2	Auditory	0	
280	grace	1	3	0	1	0	3	2	1	2	1	2	Visual	0	
281	gun	1	4	0	3	1	4	2	1	2	1	1	Visual	0	
282	harm	1	3	0	3	0	4	2	1	2	1	1	Visual	0	
283	harmony	1	4	1	1	1	3	1	1	2	1	2	Auditory	0	
284	hate	1	3	1	1	1	3	2	1	1	1	2	Auditory	0	
285	hell	1	2	0	1	1	1	2	1	2	1	2	Auditory	0	
286	help	1	4	0	2	0	4	1	0	2	1	1	Auditory	0	
287	hen	1	4	1	2	1	4	1	2	1	2	1	Visual	0	
288	hold	1	0	0	4	0	3	1	0	1	1	2	Haptic	1	
289	household	1	3	1	3	3	4	1	2	2	2	1	Visual	0	
290	hurt	1	2	0	3	0	4	2	1	2	1	2	Visual	0	
291	ideal	1	3	2	1	1	3	2	2	2	2	2	Visual	0	
292	imagination	1	3	1	1	1	3	2	2	1	2	2	Visual	0	
293	information	1	5	1	2	1	4	1	2	2	2	1	Auditory	0	
294	intention	1	3	0	1	0	3	2	0	1	0	2	Visual	0	
295	invention	1	3	1	2	1	4	2	2	2	2	2	Visual	0	
296	investigation	1	3	0	1	1	4	2	1	2	1	1	Visual	0	
297	item	1	3	3	4	3	4	2	2	1	2	1	Haptic	0	
298	job	1	3	0	2	1	4	2	1	2	1	1	Visual	0	
299	kid	1	4	0	2	1	4	1	0	2	1	1	Visual	0	
300	kingdom	1	2	0	1	1	3	2	1	2	1	2	Visual	0	
301	knowledge	1	4	0	0	0	3	2	1	1	1	2	Auditory	0	
302	lady	1	4	1	3	2	5	2	1	2	2	1	Visual	0	
303	landscape	1	1	0	1	1	5	1	0	2	1	1	Visual	1	
304	laughter	1	5	0	1	0	4	0	0	1	0	1	Auditory	0	
305	lead	1	2	1	3	1	4	2	1	2	1	2	Visual	0	
306	leg	1	1	0	5	0	5	1	1	1	1	0	Visual	0	
307	level	1	2	0	2	0	3	1	1	2	1	1	Visual	0	
308	liberty	1	2	0	1	0	3	2	0	1	1	2	Visual	0	
309	library	1	3	1	3	1	5	1	1	2	1	1	Visual	0	
310	lift	1	3	0	4	0	4	2	0	2	1	1	Visual	0	
311	liquid	1	3	4	4	3	5	2	1	1	2	1	Visual	0	
312	magic	1	2	0	1	0	4	2	1	1	1	2	Visual	1	
313	main	1	1	1	1	0	2	1	1	2	1	2	Visual	0	
314	majority	1	3	0	1	0	4	2	0	2	0	1	Visual	1	
315	mass	1	2	0	3	0	4	2	0	2	1	1	Visual	0	
316	measure	1	1	1	3	1	4	2	2	1	1	2	Visual	0	
317	meeting	1	4	0	1	0	4	2	1	2	1	1	Visual	0	
318	moment	1	3	0	1	1	3	2	1	2	1	2	Visual	0	
319	music	1	5	0	1	0	2	0	0	2	0	1	Auditory	1	
320	myth	1	4	0	0	0	1	1	0	1	0	1	Auditory	1	
321	nose	1	1	1	4	3	4	1	1	1	2	1	Visual	0	
322	note	1	2	0	3	0	4	2	0	2	0	1	Visual	0	
323	object	1	3	2	4	3	5	2	2	1	2	1	Visual	0	
324	opening	1	2	0	3	0	4	2	0	1	1	1	Visual	0	
325	opportunity	1	4	0	2	0	4	2	1	2	1	1	Visual	0	
326	opposition	1	3	0	1	0	4	2	0	1	1	1	Visual	0	
327	origin	1	2	0	0	1	2	2	1	1	1	2	Visual	0	
328	owner	1	2	0	1	1	4	2	0	2	1	1	Visual	0	
329	paint	1	0	0	3	4	5	1	1	1	1	1	Visual	0	
330	pair	1	2	0	2	0	4	2	1	2	0	1	Visual	1	
331	paper	1	2	1	4	2	4	1	1	1	2	1	Visual	0	
332	pat	1	2	0	4	0	3	2	0	1	0	2	Haptic	0	
333	philosophy	1	3	0	0	0	2	2	0	1	0	2	Auditory	1	
334	piece	1	1	2	3	1	4	1	2	1	2	1	Visual	0	
335	plan	1	4	0	1	0	3	2	1	1	0	1	Auditory	0	
336	plane	1	4	0	3	1	5	1	1	2	1	1	Visual	0	
337	platform	1	1	0	2	0	4	1	0	2	0	1	Visual	1	
338	poet	1	4	0	1	0	3	2	0	1	1	2	Auditory	0	
339	poetry	1	4	0	1	0	3	1	0	1	0	2	Auditory	1	
340	president	1	3	0	1	0	4	2	0	1	1	2	Visual	0	
341	pressure	1	3	0	3	0	3	2	0	2	0	2	Visual	0	
342	pride	1	3	0	1	0	3	2	0	1	0	1	Visual	0	
343	prince	1	3	0	1	1	4	2	0	2	1	2	Visual	0	
344	problem	1	4	0	1	1	3	2	1	2	1	2	Auditory	0	
345	promotion	1	3	0	1	0	3	1	1	1	1	2	Auditory	0	
346	proof	1	3	1	2	1	4	2	2	2	2	2	Visual	0	
347	provision	1	1	1	1	1	2	2	1	2	1	2	Visual	0	
348	public	1	4	0	2	1	4	1	0	2	1	1	Visual	0	
349	pupil	1	2	0	1	1	4	2	0	2	1	1	Visual	0	
350	purpose	1	3	0	1	0	2	2	0	1	1	2	Auditory	0	
351	quantity	1	2	0	3	0	4	2	1	2	1	1	Visual	0	
352	quarrel	1	5	0	1	0	4	1	0	1	0	1	Auditory	1	
353	question	1	5	0	0	0	3	1	0	0	0	2	Auditory	1	
354	quick	1	2	0	2	0	4	2	0	2	1	2	Visual	0	
355	race	1	3	0	2	0	5	2	0	2	1	1	Visual	0	
356	recall	1	3	2	2	2	3	2	2	2	2	2	Visual	0	
357	recognition	1	4	2	3	3	4	1	2	2	2	1	Visual	0	
358	reduction	1	2	1	2	1	4	2	1	2	1	2	Visual	0	
359	rent	1	2	0	1	0	3	2	0	2	0	2	Visual	1	
360	requirement	1	3	1	1	1	3	2	1	1	1	2	Visual	0	
361	resistance	1	2	0	3	0	4	2	0	2	1	1	Visual	0	
362	rifle	1	4	0	3	1	4	1	0	2	1	1	Auditory	0	
363	rock	1	2	0	4	0	4	1	0	1	1	1	Visual	0	
364	safety	1	2	0	3	0	4	2	0	2	0	1	Visual	0	
365	satisfaction	1	3	2	3	2	4	2	2	2	2	2	Visual	0	
366	sea	1	4	3	4	3	5	1	2	1	2	1	Visual	0	
367	selection	1	2	1	2	2	3	2	1	2	2	2	Visual	0	
368	shirt	1	0	0	4	2	4	0	0	1	1	1	Visual	0	
369	shock	1	4	1	2	0	4	1	1	2	1	1	Visual	0	
370	sight	1	0	0	0	0	5	1	0	1	0	0	Visual	1	
371	sister	1	4	0	3	2	4	2	1	2	2	2	Auditory	0	
372	situation	1	3	1	2	1	4	2	1	2	2	1	Visual	0	
373	skirt	1	1	0	4	1	5	1	0	1	1	0	Visual	0	
374	sound	1	5	0	1	0	1	0	0	1	0	1	Auditory	1	
375	spite	1	3	0	0	0	2	2	0	1	0	2	Auditory	1	
376	strain	1	2	0	3	1	3	2	1	2	1	1	Haptic	0	
377	success	1	3	1	1	0	4	2	1	2	1	1	Visual	0	
378	supper	1	2	5	3	4	4	1	0	2	1	1	Gustatory	0	
379	supply	1	1	0	1	1	3	1	1	1	1	2	Visual	0	
380	suspicion	1	3	0	1	0	3	2	0	1	0	2	Visual	0	
381	taste	1	0	5	2	2	1	1	0	2	2	2	Gustatory	0	
382	tax	1	1	0	1	0	4	2	0	2	0	1	Visual	1	
383	team	1	4	0	2	1	4	1	0	2	1	1	Visual	0	
384	throw	1	1	0	3	0	4	2	0	2	0	1	Visual	0	
385	treat	1	2	3	3	2	3	2	2	2	2	2	Gustatory	0	
386	trial	1	2	0	1	0	3	2	1	1	1	1	Visual	0	
387	trust	1	3	0	2	0	3	2	0	2	0	2	Auditory	0	
388	turn	1	2	0	2	0	4	2	0	2	0	1	Visual	0	
389	type	1	2	2	3	2	3	2	2	2	2	2	Visual	0	
390	under	1	1	0	3	0	4	1	0	2	0	1	Visual	1	
391	unit	1	2	0	2	0	3	2	1	2	1	1	Visual	0	
392	value	1	3	1	2	1	3	2	1	2	1	1	Visual	0	
